dates    amo    ???
1914.33   -0.26300   0.00 
1914.42   -0.37700   0.00 
1914.50   -0.43200   0.00 
1914.58   -0.37100   0.00 
1914.67   -0.18900   0.00 
1914.75   -0.11400   0.00 
1914.83   -0.18500   0.00 
1914.92   -0.22800   0.00 
1915.00   -0.12900   0.00 
1915.08   -0.11700   0.00 
1915.17   -0.00400   0.00 
1915.25    0.05100   0.00 
1915.33    0.26100   0.00 
1915.42    0.29300   0.00 
1915.50    0.31700   0.00 
1915.58    0.21100   0.00 
1915.67    0.19600   0.00 
1915.75    0.02800   0.00 
1915.83   -0.00700   0.00 
1915.92    0.01000   0.00 
1916.00   -0.04000   0.00 
1916.08   -0.10000   0.00 
1916.17   -0.09400   0.00 
1916.25   -0.11900   0.00 
1916.33    0.01900   0.00 
1916.42    0.02800   0.00 
1916.50   -0.07600   0.00 
1916.58   -0.01800   0.00 
1916.67   -0.00500   0.00 
1916.75   -0.07600   0.00 
1916.83   -0.24100   0.00 
1916.92   -0.20900   0.00 
1917.00   -0.29500   0.00 
1917.08   -0.35100   0.00 
1917.17   -0.40300   0.00 
1917.25   -0.30700   0.00 
1917.33   -0.25500   0.00 
1917.42   -0.15300   0.00 
1917.50   -0.21000   0.00 
1917.58   -0.19300   0.00 
1917.67   -0.28300   0.00 
1917.75   -0.34200   0.00 
1917.83   -0.32100   0.00 
1917.92   -0.26000   0.00 
1918.00   -0.10200   0.00 
1918.08   -0.17600   0.00 
1918.17   -0.11900   0.00 
1918.25   -0.18000   0.00 
1918.33   -0.24000   0.00 
1918.42   -0.42100   0.00 
1918.50   -0.36800   0.00 
1918.58   -0.39200   0.00 
1918.67   -0.36600   0.00 
1918.75   -0.25900   0.00 
1918.83   -0.30100   0.00 
1918.92   -0.22500   0.00 
1919.00   -0.22800   0.00 
1919.08   -0.06000   0.00 
1919.17   -0.19400   0.00 
1919.25   -0.05700   0.00 
1919.33   -0.16600   0.00 
1919.42   -0.22400   0.00 
1919.50   -0.28400   0.00 
1919.58   -0.19200   0.00 
1919.67   -0.19300   0.00 
1919.75   -0.14400   0.00 
1919.83   -0.22900   0.00 
1919.92   -0.29200   0.00 
1920.00   -0.46300   0.00 
1920.08   -0.40500   0.00 
1920.17   -0.45300   0.00 
1920.25   -0.33600   0.00 
1920.33   -0.25400   0.00 
1920.42   -0.28300   0.00 
1920.50   -0.27700   0.00 
1920.58   -0.30500   0.00 
1920.67   -0.27800   0.00 
1920.75   -0.26900   0.00 
1920.83   -0.42900   0.00 
1920.92   -0.30500   0.00 
1921.00   -0.29200   0.00 
1921.08   -0.27500   0.00 
1921.17   -0.31900   0.00 
1921.25   -0.26600   0.00 
1921.33   -0.25200   0.00 
1921.42   -0.24900   0.00 
1921.50   -0.11000   0.00 
1921.58   -0.24800   0.00 
1921.67   -0.22700   0.00 
1921.75   -0.05600   0.00 
1921.83   -0.26400   0.00 
1921.92   -0.12200   0.00 
1922.00   -0.20700   0.00 
1922.08   -0.24400   0.00 
1922.17   -0.34200   0.00 
1922.25   -0.41200   0.00 
1922.33   -0.31900   0.00 
1922.42   -0.33300   0.00 
1922.50   -0.37800   0.00 
1922.58   -0.31000   0.00 
1922.67   -0.36900   0.00 
1922.75   -0.28800   0.00 
1922.83   -0.35300   0.00 
1922.92   -0.32600   0.00 
1923.00   -0.36500   0.00 
1923.08   -0.46200   0.00 
1923.17   -0.40600   0.00 
1923.25   -0.43100   0.00 
1923.33   -0.28300   0.00 
1923.42   -0.31600   0.00 
1923.50   -0.32300   0.00 
1923.58   -0.42800   0.00 
1923.67   -0.37100   0.00 
1923.75   -0.26600   0.00 
