dates    nao    ???
1996.83   -0.56000   0.00
1996.92   -1.41000   0.00
1997.00   -0.49000   0.00
1997.08    1.70000   0.00
1997.17    1.46000   0.00
1997.25   -1.02000   0.00
1997.33   -0.28000   0.00
1997.42   -1.47000   0.00
1997.50    0.34000   0.00
1997.58    0.83000   0.00
1997.67    0.61000   0.00
1997.75   -1.70000   0.00
1997.83   -0.90000   0.00
1997.92   -0.96000   0.00
1998.00    0.39000   0.00
1998.08   -0.11000   0.00
1998.17    0.87000   0.00
1998.25   -0.68000   0.00
1998.33   -1.32000   0.00
1998.42   -2.72000   0.00
1998.50   -0.48000   0.00
1998.58   -0.02000   0.00
1998.67   -2.00000   0.00
1998.75   -0.29000   0.00
1998.83   -0.28000   0.00
1998.92    0.87000   0.00
1999.00    0.77000   0.00
1999.08    0.29000   0.00
1999.17    0.23000   0.00
1999.25   -0.95000   0.00
1999.33    0.92000   0.00
1999.42    1.12000   0.00
1999.50   -0.90000   0.00
1999.58    0.39000   0.00
1999.67    0.36000   0.00
1999.75    0.20000   0.00
1999.83    0.65000   0.00
1999.92    1.61000   0.00
2000.00    0.60000   0.00
2000.08    1.70000   0.00
2000.17    0.77000   0.00
2000.25   -0.03000   0.00
2000.33    1.58000   0.00
2000.42   -0.03000   0.00
2000.50   -1.03000   0.00
2000.58   -0.29000   0.00
2000.67   -0.21000   0.00
2000.75    0.92000   0.00
2000.83   -0.92000   0.00
2000.92   -0.58000   0.00
2001.00    0.25000   0.00
2001.08    0.45000   0.00
2001.17   -1.26000   0.00
2001.25    0.00000   0.00
2001.33   -0.02000   0.00
2001.42   -0.20000   0.00
2001.50   -0.25000   0.00
2001.58   -0.07000   0.00
2001.67   -0.65000   0.00
2001.75   -0.24000   0.00
2001.83    0.63000   0.00
2001.92   -0.83000   0.00
2002.00    0.44000   0.00
2002.08    1.10000   0.00
2002.17    0.69000   0.00
2002.25    1.18000   0.00
2002.33   -0.22000   0.00
2002.42    0.38000   0.00
2002.50    0.62000   0.00
2002.58    0.38000   0.00
2002.67   -0.70000   0.00
2002.75   -2.28000   0.00
2002.83   -0.18000   0.00
2002.92   -0.94000   0.00
2003.00    0.16000   0.00
2003.08    0.62000   0.00
2003.17    0.32000   0.00
2003.25   -0.18000   0.00
2003.33    0.01000   0.00
2003.42   -0.07000   0.00
2003.50    0.13000   0.00
2003.58   -0.07000   0.00
2003.67    0.01000   0.00
2003.75   -1.26000   0.00
2003.83    0.86000   0.00
2003.92    0.64000   0.00
2004.00   -0.29000   0.00
2004.08   -0.14000   0.00
2004.17    1.02000   0.00
2004.25    1.15000   0.00
2004.33    0.19000   0.00
2004.42   -0.89000   0.00
2004.50    1.13000   0.00
2004.58   -0.48000   0.00
2004.67    0.38000   0.00
2004.75   -1.10000   0.00
2004.83    0.73000   0.00
2004.92    1.21000   0.00
2005.00    1.52000   0.00
2005.08   -0.06000   0.00
2005.17   -1.83000   0.00
2005.25   -0.30000   0.00
2005.33   -1.25000   0.00
2005.42   -0.05000   0.00
2005.50   -0.51000   0.00
2005.58    0.37000   0.00
2005.67    0.63000   0.00
2005.75   -0.98000   0.00
2005.83   -0.31000   0.00
2005.92   -0.44000   0.00
2006.00    1.27000   0.00
2006.08   -0.51000   0.00
2006.17   -1.28000   0.00
2006.25    1.24000   0.00
2006.33   -1.14000   0.00
2006.42    0.84000   0.00
2006.50    0.90000   0.00
2006.58   -1.73000   0.00
2006.67   -1.62000   0.00
2006.75   -2.24000   0.00
2006.83    0.44000   0.00
2006.92    1.34000   0.00
2007.00    0.22000   0.00
2007.08   -0.47000   0.00
2007.17    1.44000   0.00
2007.25    0.17000   0.00
2007.33    0.66000   0.00
2007.42   -1.31000   0.00
2007.50   -0.58000   0.00
2007.58   -0.14000   0.00
2007.67    0.72000   0.00
2007.75    0.45000   0.00
2007.83    0.58000   0.00
2007.92    0.34000   0.00
2008.00    0.89000   0.00
2008.08    0.73000   0.00
2008.17    0.08000   0.00
2008.25   -1.07000   0.00
2008.33   -1.73000   0.00
2008.42   -1.39000   0.00
2008.50   -1.27000   0.00
2008.58   -1.16000   0.00
2008.67    1.02000   0.00
2008.75   -0.04000   0.00
2008.83   -0.32000   0.00
2008.92   -0.28000   0.00
2009.00   -0.01000   0.00
2009.08    0.06000   0.00
2009.17    0.57000   0.00
2009.25   -0.20000   0.00
2009.33    1.68000   0.00
2009.42   -1.21000   0.00
2009.50   -2.15000   0.00
2009.58   -0.19000   0.00
2009.67    1.51000   0.00
2009.75   -1.03000   0.00
2009.83   -0.02000   0.00
2009.92   -1.93000   0.00
2010.00   -1.11000   0.00
2010.08   -1.98000   0.00
2010.17   -0.88000   0.00
2010.25   -0.72000   0.00
2010.33   -1.49000   0.00
2010.42   -0.82000   0.00
2010.50   -0.42000   0.00
2010.58   -1.22000   0.00
2010.67   -0.79000   0.00
2010.75   -0.93000   0.00
2010.83   -1.62000   0.00
2010.92   -1.85000   0.00
2011.00   -0.88000   0.00
2011.08    0.70000   0.00
2011.17    0.61000   0.00
2011.25    2.48000   0.00
2011.33   -0.06000   0.00
2011.42   -1.28000   0.00
2011.50   -1.51000   0.00
2011.58   -1.35000   0.00
2011.67    0.54000   0.00
2011.75    0.39000   0.00
2011.83    1.36000   0.00
2011.92    2.52000   0.00
2012.00    1.17000   0.00
2012.08    0.42000   0.00
2012.17    1.27000   0.00
2012.25    0.47000   0.00
2012.33   -0.91000   0.00
2012.42   -2.53000   0.00
2012.50   -1.32000   0.00
2012.58   -0.98000   0.00
2012.67   -0.59000   0.00
2012.75   -2.06000   0.00
2012.83   -0.58000   0.00
2012.92    0.17000   0.00
2013.00    0.35000   0.00
2013.08   -0.45000   0.00
2013.17   -1.61000   0.00
2013.25    0.69000   0.00
2013.33    0.57000   0.00
2013.42    0.52000   0.00
2013.50    0.67000   0.00
2013.58    0.97000   0.00
2013.67    0.24000   0.00
2013.75   -1.28000   0.00
2013.83    0.90000   0.00
2013.92    0.95000   0.00
2014.00    0.29000   0.00
2014.08    1.34000   0.00
2014.17    0.80000   0.00
2014.25    0.31000   0.00
2014.33   -0.92000   0.00
2014.42   -0.97000   0.00
2014.50    0.18000   0.00
2014.58   -1.68000   0.00
2014.67    1.62000   0.00
2014.75   -1.27000   0.00
2014.83    0.68000   0.00
2014.92    1.86000   0.00
2015.00    1.79000   0.00
2015.08    1.32000   0.00
2015.17    1.45000   0.00
2015.25    0.73000   0.00
2015.33    0.15000   0.00
2015.42   -0.07000   0.00
2015.50   -3.18000   0.00
2015.58   -0.76000   0.00
2015.67   -0.65000   0.00
2015.75    0.44000   0.00
2015.83    1.74000   0.00
2015.92    2.24000   0.00
2016.00    0.12000   0.00
2016.08    1.58000   0.00
2016.17    0.73000   0.00
2016.25    0.38000   0.00
2016.33   -0.77000   0.00
2016.42   -0.43000   0.00
2016.50   -1.76000   0.00
2016.58   -1.65000   0.00
2016.67    0.61000   0.00
2016.75    0.41000   0.00
2016.83   -0.16000   0.00
2016.92    0.48000   0.00
2017.00    0.48000   0.00
2017.08    1.00000   0.00
2017.17    0.74000   0.00
2017.25    1.73000   0.00
2017.33   -1.91000   0.00
2017.42    0.05000   0.00
2017.50    1.26000   0.00
2017.58   -1.10000   0.00
2017.67   -0.61000   0.00
2017.75    0.19000   0.00
2017.83   -0.00000   0.00
2017.92    0.88000   0.00
2018.00    1.44000   0.00
2018.08    1.58000   0.00
2018.17   -0.93000   0.00
2018.25    1.24000   0.00
2018.33    2.12000   0.00
2018.42    1.09000   0.00
2018.50    1.39000   0.00
2018.58    1.97000   0.00
2018.67    1.67000   0.00
2018.75    0.93000   0.00
2018.83   -0.11000   0.00
2018.92    0.61000   0.00
2019.00    0.59000   0.00
2019.08    0.29000   0.00
2019.17    1.23000   0.00
2019.25    0.47000   0.00
2019.33   -2.62000   0.00
2019.42   -1.09000   0.00
2019.50   -1.43000   0.00
2019.58   -1.17000   0.00
2019.67   -0.16000   0.00
2019.75   -1.41000   0.00
2019.83    0.28000   0.00
2019.92    1.20000   0.00
2020.00    1.34000   0.00
2020.08    1.26000   0.00
2020.17    1.01000   0.00
2020.25   -1.02000   0.00
2020.33   -0.41000   0.00
2020.42   -0.15000   0.00
2020.50   -1.23000   0.00
2020.58    0.12000   0.00
2020.67    0.98000   0.00
2020.75   -0.65000   0.00
2020.83    2.54000   0.00
2020.92   -0.30000   0.00
2021.00   -1.11000   0.00
2021.08    0.14000   0.00
2021.17    0.73000   0.00
2021.25   -1.43000   0.00
2021.33   -1.24000   0.00
2021.42    0.77000   0.00
2021.50    0.03000   0.00
2021.58   -0.28000   0.00
2021.67   -0.21000   0.00
2021.75   -2.29000   0.00
2021.83   -0.18000   0.00
2021.92    0.29000   0.00
2022.00    1.08000   0.00
2022.08    1.68000   0.00
2022.17    0.77000   0.00
2022.25   -0.36000   0.00
2022.33    0.71000   0.00
2022.42   -0.12000   0.00
2022.50   -0.09000   0.00
2022.58    1.47000   0.00
2022.67   -1.61000   0.00
2022.75   -0.72000   0.00
2022.83    0.69000   0.00
2022.92   -0.15000   0.00
2023.00    1.25000   0.00
2023.08    0.92000   0.00
2023.17   -1.11000   0.00
2023.25   -0.63000   0.00
2023.33    0.39000   0.00
2023.42   -0.58000   0.00
2023.50   -2.17000   0.00
2023.58   -1.16000   0.00
2023.67   -0.44000   0.00
2023.75   -2.03000   0.00
2023.83   -0.32000   0.00
2023.92    1.94000   0.00
2024.00    0.21000   0.00
2024.08    1.09000   0.00
2024.17   -0.21000   0.00
2024.25   -0.78000   0.00
2024.33   -0.44000   0.00
2024.42   -0.09000   0.00
2024.50    1.46000   0.00
2024.58    0.63000   0.00
2024.67   -1.43000   0.00
2024.75   -0.38000   0.00
2024.83   -0.23000   0.00
2024.92    1.21000   0.00
2025.00   -0.52000   0.00
2025.08    0.00000   0.00
2025.17    0.00000   0.00
2025.25    0.00000   0.00
2025.33    0.00000   0.00
2025.42    0.00000   0.00
2025.50    0.00000   0.00
2025.58    0.00000   0.00
2025.67    0.00000   0.00
2025.75    0.00000   0.00
2025.83    0.00000   0.00
2025.92    0.00000   0.00
