dates    soi    ???
2024.25   -0.30000   0.00
2024.33    0.80000   0.00
2024.42    0.10000   0.00
2024.50   -1.20000   0.00
2024.58    1.50000   0.00
2024.67   -0.20000   0.00
2024.75    0.80000   0.00
2024.83    0.80000   0.00
2024.92    1.90000   0.00
2025.00    0.30000   0.00
