dates values
1998.3614 0
1998.36413 0
1998.36687 0
1998.36961 0
1998.37235 0
1998.37509 0
1998.37782 0
1998.38056 0
1998.3833 0
1998.38604 0
1998.38877 0
1998.39151 0
1998.39425 0
1998.39699 0
1998.39973 0
1998.40246 0
1998.4052 0
1998.40794 0
1998.41068 0
1998.41342 0
1998.41615 0
1998.41889 0
1998.42163 0
1998.42437 0
1998.4271 0
1998.42984 0
1998.43258 0
1998.43532 0
1998.43806 0
1998.44079 0
1998.44353 0
1998.44627 0
1998.44901 0
1998.45175 0
1998.45448 0
1998.45722 0
1998.45996 0
1998.4627 0
1998.46543 0
1998.46817 0
1998.47091 0
1998.47365 0
1998.47639 0
1998.47912 0
1998.48186 0
1998.4846 0
1998.48734 0
1998.49008 0
1998.49281 0
1998.49555 0
1998.49829 0
1998.50103 0
1998.50376 0
1998.5065 0
1998.50924 0
1998.51198 0
1998.51472 0
1998.51745 0
1998.52019 0
1998.52293 0
1998.52567 0
1998.52841 0
1998.53114 0
1998.53388 0
1998.53662 0
1998.53936 0
1998.54209 0
1998.54483 0
1998.54757 0
1998.55031 0
1998.55305 0
1998.55578 0
1998.55852 0
1998.56126 0
1998.564 0
1998.56674 0
1998.56947 0
1998.57221 0
1998.57495 0
1998.57769 0
1998.58042 0
1998.58316 0
1998.5859 0
1998.58864 0
1998.59138 0
1998.59411 0
1998.59685 0
1998.59959 0
1998.60233 0
1998.60507 0
1998.6078 0
1998.61054 0
1998.61328 0
1998.61602 0
1998.61875 0
1998.62149 0
1998.62423 0
1998.62697 0
1998.62971 0
1998.63244 0
1998.63518 0
1998.63792 0
1998.64066 0
1998.64339 0
1998.64613 0
1998.64887 0
1998.65161 0
1998.65435 0
1998.65708 0
1998.65982 0
1998.66256 0
1998.6653 0
1998.66804 0
1998.67077 0
1998.67351 0
1998.67625 0
1998.67899 0
1998.68172 0
1998.68446 0
1998.6872 0
1998.68994 0
1998.69268 0
1998.69541 0
1998.69815 0
1998.70089 0
1998.70363 0
1998.70637 0
1998.7091 0
1998.71184 0
1998.71458 0
1998.71732 0
1998.72005 0
1998.72279 0
1998.72553 0
1998.72827 0
1998.73101 0
1998.73374 0
1998.73648 0
1998.73922 0
1998.74196 0
1998.7447 0
1998.74743 0
1998.75017 0
1998.75291 1
1998.75565 0
1998.75838 0
1998.76112 0
1998.76386 0
1998.7666 0
1998.76934 0
1998.77207 0
1998.77481 0
1998.77755 0
1998.78029 0
1998.78303 0
1998.78576 0
1998.7885 0
1998.79124 0
1998.79398 0
1998.79671 0
1998.79945 0
1998.80219 0
1998.80493 0
1998.80767 0
1998.8104 0
1998.81314 0
1998.81588 0
1998.81862 0
1998.82136 0
1998.82409 0
1998.82683 0
1998.82957 0
1998.83231 0
1998.83504 0
1998.83778 0
1998.84052 0
1998.84326 0
1998.846 0
1998.84873 0
1998.85147 0
1998.85421 0
1998.85695 0
1998.85969 0
1998.86242 0
1998.86516 0
1998.8679 0
1998.87064 0
1998.87337 0
1998.87611 0
1998.87885 0
1998.88159 0
1998.88433 0
1998.88706 0
1998.8898 0
1998.89254 0
1998.89528 0
1998.89802 0
1998.90075 0
1998.90349 0
1998.90623 0
1998.90897 0
1998.9117 0
1998.91444 0
1998.91718 0
1998.91992 0
1998.92266 0
1998.92539 0
1998.92813 0
1998.93087 0
1998.93361 0
1998.93634 0
1998.93908 0
1998.94182 0
1998.94456 0
1998.9473 0
1998.95003 0
1998.95277 0
1998.95551 0
1998.95825 0
1998.96099 0
1998.96372 0
1998.96646 0
1998.9692 0
1998.97194 0
1998.97467 0
1998.97741 0
1998.98015 0
1998.98289 0
1998.98563 0
1998.98836 0
1998.9911 0
1998.99384 0
1998.99658 0
1999.0 0
1999.00274 0
1999.00548 0
1999.00821 0
1999.01095 0
1999.01369 0
1999.01643 0
1999.01916 0
1999.0219 0
1999.02464 0
1999.02738 0
1999.03012 0
1999.03285 0
1999.03559 0
1999.03833 0
1999.04107 0
1999.04381 0
1999.04654 0
1999.04928 0
1999.05202 0
1999.05476 0
1999.05749 0
1999.06023 0
1999.06297 0
1999.06571 0
1999.06845 1
1999.07118 0
1999.07392 0
1999.07666 0
1999.0794 0
1999.08214 0
1999.08487 0
1999.08761 0
1999.09035 0
1999.09309 0
1999.09582 0
1999.09856 0
1999.1013 0
1999.10404 0
1999.10678 0
1999.10951 0
1999.11225 0
1999.11499 0
1999.11773 0
1999.12047 0
1999.1232 0
1999.12594 0
1999.12868 0
1999.13142 0
1999.13415 0
1999.13689 0
1999.13963 0
1999.14237 0
1999.14511 0
1999.14784 0
1999.15058 0
1999.15332 0
1999.15606 0
1999.1588 0
1999.16153 0
1999.16427 0
1999.16701 0
